Unique Id; Longitude; Latitude
1;19.313621;52.378149
2;19.31272;52.375672
3;19.312234;52.374336
4;19.311784;52.373099
5;19.311374;52.371971
6;19.310866;52.370575
7;19.310416;52.369338
8;19.310001;52.368196
9;19.316548;52.367559
10;19.317402;52.369038
11;19.304193;52.369605
12;19.304485;52.370899
13;19.317483;52.370239
14;19.317788;52.371718
15;19.304986;52.372224
16;19.305481;52.373456
17;19.3182;52.372735
18;19.318763;52.373967
19;19.305975;52.374689
20;19.306405;52.375983
21;19.319199;52.375354
22;19.308933;52.364559
23;19.315407;52.364128
24;19.32342;52.363594
25;19.308824;52.364214
26;19.315301;52.36381
